,Unnamed: 0,OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,CRASH_MONTH_YEAR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,AREA_CODE,CRASH_DATE,CRASH_SEVERITY_CD,CRASH_TYPE_CD,DAY_IN_WEEK_CD,DISTRACTED_DRIVER_IND,FACILITY_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,FREEWAY_IND,FUNCTIONAL_CLASS_CD,HOUR_OF_CRASH,INCAPAC_INJURIES_NBR,INTERCHANGE_ID,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERSTATE_IND,INV_LOG_NBR,INV_NLFID,IS_COMMERCIAL_RELATED,LIGHT_COND_PRIMARY_CD,LOCAL_REPORT_NUMBER_ID,MAINTENANCE_AUTHORITY_CD,MONTH_OF_CRASH,NHS_CD,NO_INJURY_REPORTED_NBR,NON_INCAPAC_INJURIES_NBR,NUMBER_OF_UNITS_NBR,ODOT_CITY_VILLAGE_TWP_NME,ODOT_CRASH_LOCATION_CD,ODOT_DIR_FROM_REF_CD,ODOT_DIV_UNDIV_IND,ODOT_INTERSECTION_REL_IND,ODOT_LANES_NBR,ODOT_MAINTAINED_HWY_IND,ODOT_MILES_FROM_REF_NBR,ODOT_REF_ROUTE_PREFIX_CD,ODOT_YOUNG_DRIVER_IND,ODPS_ADDRESS_REFERENCE,ODPS_ALCOHOL_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_DRUG_IND,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_LOC_ROAD_DIRECTION_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_MILEPOST_REFERENCE,ODPS_MOTORCYCLE_IND,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_POINT_USED_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_REF_SUFFIX_CD,ODPS_SCHOOL_ZONE_IND,ODPS_SENIOR_DRIVER_IND,ODPS_SPEED_IND,ODPS_TOTAL_FATALITIES_NBR,ODPS_TYPE_OF_WORK_ZONE_CD,ODPS_WORK_ZONE_IND,OPER_ACCESS_CONTROL_CD,POSSIBLE_INJURIES_NBR,ROAD_COND_PRIMARY_CD,ROAD_CONTOUR_CD,SA_RAMP_ID,SA_SEGMENT_ID,SECONDARY_CRASH,STATE_TRUE_LOG_NBR,U1_AGE_NBR,U1_AT_FAULT_IND,U1_CONT_CIR_PRIMARY_CD,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_DISTRACTED_BY_1_CD,U1_GENDER_CD,U1_IS_ALCOHOL_SUSPECTED,U1_IS_MARIJUANA_SUSPECTED,U1_IS_OTHER_DRUG_SUSPECTED,U1_NON_MOTORIST_LOC_CD,U1_NUMBER_OF_THRU_LANES,U1_OBJECT_STRUCK,U1_ODPS_UNIT_NBR,U1_OPERATINGIN_AUTONOMOUS_MODE,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_SPECIAL_FUNCTION_CD,U1_TRAFFIC_CONTROL_CD,U1_TURN_CD,U1_TYPE_OF_UNIT_CD,U1_UNIT_SPEED_NBR,U2_AGE_NBR,U2_CONT_CIR_PRIMARY_CD,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_DISTRACTED_BY_1_CD,U2_GENDER_CD,U2_NON_MOTORIST_LOC_CD,U2_ODPS_UNIT_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_SPECIAL_FUNCTION_CD,U2_TRAFFIC_CONTROL_CD,U2_TURN_CD,U2_TYPE_OF_UNIT_CD,U2_UNIT_SPEED_NBR,U3_CONT_CIR_PRIMARY_CD,U3_ODPS_UNIT_NBR,U3_PRECRASH_ACTION_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,U3_SPECIAL_FUNCTION_CD,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,UNRESTRAIN_OCCUPANTS,WEATHER_COND_CD,V1,Filter,fileNames,Narrative,clean_Narrative,Topic,Topic_num
25,162,176076855,20176076855,https://hsip.dot.state.oh.us/api/report/20176076855,2017,5/1/2017 0:00,6,MFRAMR00430**C,M,FRA,0.439,39.995358,-82.999068,18000,19234.0,5/18/2017 0:00,Minor injury suspected,Pedalcycles,5,N,,N,N,Minor arterial roads,18,0,,edfcd368-4fed-4367-9364-a83f77472817,5b57d044-0aaa-4488-9b83-583692977eda,N,0.439,MFRAMR00430**C,N,Daylight,170416755,4,5,,1,1,2,COLUMBUS,T-intersection,E,N,Y,2.0,N,0.038,US,Y,,N,COLUMBUS,N,,,,CHITTENDEN,AVE,,,,,N,,,4TH,1,,,,ST,N,N,N,0,,N,,0,Dry,Straight level,,114269.0,N,0.439,0,Y,Failure to yield,North,South,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,0,Straight ahead,Pedalcycle,,,,,,None,Yield sign,No turn,Sport utility vehicle,0,20.0,1,3.0,4.0,1.0,M,5.0,2,,15.0,20,,,,,,1.0,6.0,NT,26,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176076855,"unit #2 stated that he was riding his bicycle westbound on chittenden avenue, just east of the n. 4th street intersection, and that he was in the main westbound travel lane. he stated that unit #2 was facing southbound in the alley, just east of n. 4th street. he stated that unit #2 failed to yield at the alley and pulled out in front of him, causing him to strike the driver's side of the vehicle. unit #2 described unit #1 as being a silver toyota suv being driven by a somali male. unit #1 fled the area without stopping. unit #2 was transported to grant hospital by cfd medic #7 for complaints of shoulder and right leg pain. unit #2 was treated by dr. christopher szlag.", state ride bicycle westbound chittenden avenue n intersection westbound travel lane state face southbound alley n street state fail yield pull cause strike driver vehicle describe toyota suv drive somali male flee area stop transport hospital cfd medic complaint shoulder right leg pain treat dr szlag ,Bicycle Accident Cases,Bicycle Accident Cases
29,205,176112336,20176112336,https://hsip.dot.state.oh.us/api/report/20176112336,2017,8/1/2017 0:00,8,SBUTSR00063**C,S,BUT,1.35,39.445095,-84.400393,51310,16885.0,8/7/2017 0:00,Minor injury suspected,Pedalcycles,2,N,Two-way roadway,N,N,Major collector roads,5,0,,3f15ded2-32d0-4eaa-a28f-15e29eff8155,3e803c14-6c80-4334-a165-6716dcb1e3d8,N,1.35,SBUTSR00063**C,N,Dark - lighted roadway,17012939,4,8,,1,1,2,MONROE,Four-way intersection,W,Y,Y,4.0,N,0.001,TR,N,,N,MONROE,N,,,,,ST,63,SR,,,N,,,SALZMAN,1,,,,RD,N,N,N,0,,N,3.0,0,Wet,Straight level,,172608.0,N,1.35,29,N,Not discernible,North,South,,M,N,N,N,Intersection ? unmarked crosswalk,2,Nothing struck,1,2,35,Entering or crossing specified location,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,10,59.0,1,3.0,4.0,1.0,F,,2,55.0,1.0,15,,,,,,1.0,2.0,NT,3,55.0,,,,,,,,,,,,,0,Rain,,Non_WZ_Non_CMV,2017/pdf/176112336,unit 1 was traveling southbound on salzman rd. at sr 63. unit 2 was traveling westbound on sr 63 at salzman rd. and struck unit 1., travel southbound salzman rd sr travel westbound sr salzman rd strike ,Road Travel Fails,Road Travel Fails
31,212,176115753,20176115753,https://hsip.dot.state.oh.us/api/report/20176115753,2017,8/1/2017 0:00,12,SLAKUS00020**C,S,LAK,4.8,41.63262,-81.412211,85484,17668.0,8/14/2017 0:00,Property damage only,Pedalcycles,2,N,Two-way roadway,N,N,Minor arterial roads,13,0,,eb581c9c-2ac8-45b8-b224-1490c1daac34,13c1fd1a-b03e-4d07-a008-37c28323d414,N,4.8,SLAKUS00020**C,N,Daylight,1724053,4,8,,2,0,2,WILLOUGHBY,Four-way intersection,,N,Y,2.0,N,0.0,MR,Y,,N,WILLOUGHBY,N,,,,GROVE,AVE,,,,,N,,,,1,20,US,,,N,N,N,0,,N,3.0,0,Dry,Straight level,,274988.0,N,207.315,27,N,Other improper action,,,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Making leftturn,Pedalcycle,,,,,,None,Signal,Left turn,Sport utility vehicle,2,15.0,99,8.0,5.0,1.0,F,1.0,2,25.0,14.0,20,,,,,,1.0,2.0,NT,26,3.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2017/pdf/176115753,"unit 1 was stopped at a red light on grove ave., at the intersection with us 20. unit 1 was intending on making a left- hand turn onto us 20 when the light turned green. unit 2 (bicycle) was traveling on the sidewalk of us 20, approaching grove ave. from the sw. driver of unit 1 stated that the light turned green and he began to accelerate but immediately hit the brakes because he noticed unit 2 entering the roadway from the sidewalk. rider of unit 2 states that when she entered the roadway from the sidewalk, the walk/don't walk sign showed that she had the right of way. minor contact was made between the vehicle and the bicycle in the roadway. no injuries or damage were reported by either unit.", stop red ave intersection intend make left turn turn green travel sidewalk approach ave sw state turn begin accelerate immediately hit brake notice enter roadway sidewalk state enter roadway sidewalk walk do not walk sign show right way contact vehicle bicycle roadway injury damage report ,Stop and Turn Accidents Involving Bicycles,Stop and Turn Accidents Involving Bicycles
32,213,176116022,20176116022,https://hsip.dot.state.oh.us/api/report/20176116022,2017,8/1/2017 0:00,6,MFRAMR00752**C,M,FRA,0.132,39.948983,-82.91923,18000,19234.0,8/15/2017 0:00,Injury possible,Pedalcycles,3,N,,N,N,Local roads,15,0,,725b4dc6-2118-4123-a822-8fcd92034dff,9339dd1b-3513-4301-95fb-a1feb71f11a2,N,0.132,MFRAMR00752**C,N,Daylight,170707246,4,8,,1,0,2,COLUMBUS,Not an intersection,N,N,N,2.0,N,0.133,MR,Y,,N,COLUMBUS,N,,,,EASTMOOR,BLVD,,,,,N,,E,LIVINGSTON,1,,,,AVE,N,N,N,0,,N,,1,Dry,Straight level,,313540.0,N,0.132,0,Y,Other improper action,South,North,,U,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Straight ahead,Other / unknown,,,,,,None,No control,No turn,Sport utility vehicle,25,16.0,1,2.0,1.0,1.0,F,7.0,2,25.0,,20,,,,,,1.0,6.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176116022,"on the listed date and time, unit #2 reported riding her bike northbound toward brownlee ave. on eastmoor blvd. unit #2 stated that she was traveling in the west side of the street in order to go around a parked car that was jutting out from the roadway. unit #2 stated that a dark colored suv approached from the rear (from south to north) and also traveled around the parked car and in doing so, she was struck by an object protruding from the driver's side of the vehicle. this caused her to be thrown from her bike and perhaps striking her head on the pavement. her mother transported her to bexley urgent care where she was treated for her injuries by dr. sarah newkirk.",list date time report ride bike northbound ave eastmoor blvd state travel order park car jutting roadway state dark colored suv approach rear travel park car strike object protrude driver vehicle cause throw bike striking pavement mother transport bexley urgent care treat injury dr newkirk ,Bicycle Accident Cases,Bicycle Accident Cases
33,230,176130789,20176130789,https://hsip.dot.state.oh.us/api/report/20176130789,2017,8/1/2017 0:00,6,MFRAMR02767**C,M,FRA,0.238,39.853256,-82.883289,32606,19234.0,8/27/2017 0:00,Injury possible,Pedalcycles,1,Y,,N,N,Local roads,14,0,,7fed1f7a-5f58-46ad-a575-c4cff5da9637,9a942d71-dbd4-4255-a682-1dae25ad6b13,N,0.238,MFRAMR02767**C,N,Daylight,17001612,4,8,,1,0,2,GROVEPORT,Four-way intersection,,N,Y,2.0,N,0.0,MR,N,,N,GROVEPORT,N,,,,OAK,ST,,,,,N,,,MAPLE,1,,,,ST,N,N,N,0,,N,,1,Dry,Straight level,,143782.0,N,0.238,8,Y,Failure to yield,East,West,Other distraction outside the vehicle,F,N,N,N,Intersection ? other,2,Nothing struck,2,2,25,"Walking, running, jogging, playing",Pedalcycle,,,,,,None,No control,No turn,Bicycle,5,37.0,1,2.0,1.0,1.0,F,,1,25.0,1.0,15,,,,,,1.0,6.0,NT,3,15.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176130789,unit 1 was traveling n/b on oak st and unit 2 was traveling w/b on maple st; unit 2 was traveling the wrong way down a one way street and fail to yield to the right of way of unit 1., travel oak st travel w st travel wrong fail yield right ,Road Travel Fails,Road Travel Fails
39,260,176153274,20176153274,https://hsip.dot.state.oh.us/api/report/20176153274,2017,10/1/2017 0:00,12,SLAKSR00084**C,S,LAK,3.61,41.607242,-81.439787,85484,17668.0,10/19/2017 0:00,Property damage only,Pedalcycles,5,N,Two-way roadway,N,N,Minor arterial roads,21,0,,463d9f58-b732-429a-b23c-9fc04f4541f5,b3673633-3fd3-4bfa-8564-75f1d3b46e74,N,3.61,SLAKSR00084**C,N,Dark - lighted roadway,1731399,4,10,,2,0,2,WILLOUGHBY,Four-way intersection,,N,Y,2.0,N,0.0,SR,Y,,N,WILLOUGHBY,N,,,,,,84,SR,,,N,,,,1,91,SR,,,N,N,N,0,,N,3.0,0,Dry,Straight level,,173474.0,N,6.46,25,Y,Ran red light,,,,F,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,1,2,35,Entering or crossing specified location,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,5,49.0,1,1.0,2.0,1.0,M,,2,35.0,1.0,15,,,,,,1.0,2.0,NT,3,35.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176153274,"unit #2 was s/b sr91 in the left lane of travel with a green signal to continue across sr84. witnesses were stopped sr91 s/b in the left turn lane waiting to turn to e/b sr84. unit #1, a 24"""" womens magna 18spd bicycle, was travelling west sr84 and stopped at the crosswalk to cross sr91. against the red traffic signal and with a flashing do not cross signal, unit #1 rode across, in the crosswalk, and struck/was struck by unit #2. the rider of unit #1 was ejected from the bicycle suffering no significant injury.", s leave travel signal continue witness stop s left turn wait turn e  women magna spd bicycle travel stop crosswalk red traffic signal flashing signal ride crosswalk strike strike eject bicycle suffer significant injury ,Stop and Turn Accidents Involving Bicycles,Stop and Turn Accidents Involving Bicycles
41,283,176172204,20176172204,https://hsip.dot.state.oh.us/api/report/20176172204,2017,9/1/2017 0:00,5,SMUSUS00040**C,S,MUS,11.01,39.939499,-82.018989,88084,99786.0,9/8/2017 0:00,Minor injury suspected,Pedalcycles,6,N,Two-way roadway,N,N,Other principal arterial roads,20,0,,1eaa9e52-fd67-4062-be5d-be95d8eb61b7,938731b9-6b96-471c-8376-e12ca5c60ff0,N,11.01,SMUSUS00040**C,N,Dark - lighted roadway,17023945,4,9,,1,1,2,ZANESVILLE,T-intersection,,N,Y,3.0,N,0.0,CR,Y,,N,ZANESVILLE,N,,,,RIDGE,ST,,,,,N,,W,MAIN,1,,,,ST,N,N,N,0,,N,3.0,0,Dry,Straight level,,265454.0,N,154.183,19,Y,Failure to yield,South,East,,M,N,N,N,Intersection ? other,2,Nothing struck,2,2,25,"Walking, running, jogging, playing",Motor vehicle in transport,,,,,,None,Signal,Right turn,Bicycle,5,60.0,1,4.0,3.0,1.0,M,,1,25.0,1.0,15,,,,,,1.0,2.0,NT,3,10.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2017/pdf/176172204,unit 1 was eastbound on west main street. unit 2 was northbound on ridge avenue turning eastbound on west main street. unit 2 failed to obey a red traffic control device. unit 2's left side was struck by unit 1's center front., eastbound street northbound avenue turn eastbound street fail obey red traffic control device leave strike center ,Road Travel Fails,Road Travel Fails
42,285,176175073,20176175073,https://hsip.dot.state.oh.us/api/report/20176175073,2017,10/1/2017 0:00,4,CSUMCR00126**C,C,SUM,0.0,41.338944,-81.475854,78050,17668.0,10/31/2017 0:00,Injury possible,Pedalcycles,3,N,,N,N,Major collector roads,9,0,,679585d6-b916-4800-a840-f0b8a1384358,c6c49510-2611-4d42-aa87-437d528d8edb,N,0.0,CSUMCR00126**C,N,Daylight,1724822,4,10,,1,0,2,TWINSBURG,T-intersection,,N,Y,2.0,N,0.0,CR,N,,N,TWINSBURG,N,,,,GLENWOOD,DR,,,,,N,,,RAVENNA,1,,,,RD,N,N,N,0,,N,,1,Dry,Straight level,,21182.0,N,0.0,57,N,Other improper action,,,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Making righturn,Pedalcycle,,,,,,None,Signal,Right turn,Sport utility vehicle,5,31.0,20,6.0,7.0,1.0,M,1.0,2,,14.0,20,,,,,,1.0,2.0,NT,26,7.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2017/pdf/176175073,"unit 01 stated that the light was green and she was trying to make a right turn onto ravenna rd from glenwood dr. unit 01 stated that she did not see anyone as she was focused on the roadway. unit 01 stated that unit 02 entered the street as she was turning. unit 01 struck unit 02. unit 02 stated that he had the walk sign from the pedestrian signal while on the sidewalk. unit 02 was crossing the intersection at glenwood from ravenna rd. unit 02 stated he didn't see the vehicle until he was struck . unit 02 stated that unit 01 didn't pay attention and didn't see him. unit 02 was struck by unit 01. due to conflicting statements from involved units, no at fault was given.", state try right turn ravenna rd glenwood dr state focused roadway stated enter turning strike state walk sign pedestrian signal sidewalk crossing intersection glenwood ravenna rd state vehicle strike state pay attention strike conflict statement involve fault give ,Bicycle Accident Cases,Bicycle Accident Cases
43,289,176140890,20176140890,https://hsip.dot.state.oh.us/api/report/20176140890,2017,9/1/2017 0:00,6,MFRAMR03961**C,M,FRA,0.634,39.960164,-82.874006,84742,19234.0,9/3/2017 0:00,Minor injury suspected,Pedalcycles,1,N,,N,N,Local roads,18,0,,acf0fabe-3701-41cb-a6e6-147c412020b0,09f033c9-9175-4998-a854-d0a1afce5665,N,0.634,MFRAMR03961**C,N,Daylight,17WHI-24388-AC,4,9,,1,1,2,WHITEHALL,Four-way intersection,N,N,Y,2.0,N,0.0,MR,N,,N,WHITEHALL,N,,,,LANGLEY,AVE,,,,,N,,,MARTHA,1,,,,LN,N,N,N,0,,N,,0,Dry,Straight level,,127134.0,N,0.634,8,Y,Improper crossing,North,South,,M,N,N,N,Intersection ? unmarked crosswalk,2,Nothing struck,2,2,0,Entering or crossing specified location,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,54.0,1,3.0,4.0,1.0,F,,1,25.0,1.0,24,,,,,,1.0,6.0,NT,3,25.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176140890,"veh 1 (porter) was traveling westbound at the speed limit on langley av approaching martha ln. bicyclist 1 (motoona) was traveling southbound on martha ln approaching langley av in the street. bicyclist 1 darted into langley av without stopping, though a posted stop sign, and was struck by veh 1 (porter). bicyclist transported to children's hospital with minor injuries.",veh travel westbound limit av approach ln bicyclist travel southbound ln approach av street bicyclist dart av stopping post stop sign strike veh bicyclist transport child hospital injury ,Intersection Accidents and Bicycles,Intersection Accidents and Bicycles
45,299,176206561,20176206561,https://hsip.dot.state.oh.us/api/report/20176206561,2017,10/1/2017 0:00,7,MMOTMR04971**C,M,MOT,2.763,39.801843,-84.123063,67468,22528.0,10/11/2017 0:00,Property damage only,Pedalcycles,4,N,,N,N,Major collector roads,13,0,,3f45bb20-94d5-4cfc-a9f5-93eeffa75095,1255d8a3-bdc3-4afc-8c38-15aaad97142c,N,2.763,MMOTMR04971**C,N,Daylight,17065976,4,10,,2,0,2,RIVERSIDE,T-intersection,,N,Y,2.0,N,0.0,MR,Y,,N,RIVERSIDE,N,,,,VALLEY,ST,,,,,N,,,ENCORE,1,,,,ST,N,N,N,0,,N,,0,Dry,Straight level,,127762.0,N,2.763,18,Y,Other improper action,West,East,,F,N,N,N,Travel lane ? other location,2,Nothing struck,1,2,35,Unknown,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,10,48.0,2,4.0,3.0,1.0,F,,2,35.0,1.0,15,,,,,,1.0,6.0,NT,3,30.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2017/pdf/176206561,"unit 1 was traveling east valley at approximately 5 mph on the side of the roadway. unit 2 was also traveling east on valley st. at approximately 35 mph in the lane of travel. when unit 1 and unit 2 approached encore, unit 1 changed direction and pulled in front of unit 2 and was struck in the rear knocking the driver to unit 1 onto the ground.unit 1 was wearing a helmet and did not have any injuries.no unit was cited.", travel valley approximately mph roadway travel valley st approximately mph travel approach encore change direction pull strike rear knock ground wear helmet injuriesno cite ,Bicycle Accidents and Injuries,Bicycle Accidents and Injuries
46,333,176157897,20176157897,https://hsip.dot.state.oh.us/api/report/20176157897,2017,10/1/2017 0:00,6,MFRAMR00817**C,M,FRA,0.878,39.961613,-82.921808,18000,19234.0,10/22/2017 0:00,Minor injury suspected,Pedalcycles,1,N,,N,N,Local roads,19,0,,58248c42-03ad-423d-80f9-5b8eac91beae,26ff0181-989b-4229-a455-77fc616ad304,N,0.878,MFRAMR00817**C,N,Dark - roadway not lighted,170922183,4,10,,1,1,2,COLUMBUS,Not an intersection,W,N,N,2.0,N,0.002,MR,Y,,N,COLUMBUS,N,,,,FAIR,AVE,,,,,N,,,CHEESTERFIELD,1,,,,RD,N,N,N,0,,N,,0,Dry,Straight level,,124442.0,N,0.878,31,N,None,East,West,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Straight ahead,Pedalcycle,,,,,,None,No control,No turn,Sport utility vehicle,25,22.0,22,3.0,4.0,1.0,M,7.0,2,25.0,99.0,20,,,,,,1.0,6.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176157897,"the driver of unit #1 stated she was traveling westbound on fair ave when she hit a bicyclist from behind. driver of unit #1 stated she could not see him until the last moment. the driver of unit #1 stated he was wearing all black with no lights on the bicycle. the bicyclists stated he was riding in the middle of the roadway traveling westbound on fair ave when he noticed a vehicle coming up behind him. the bicyclist stated he tried to veer to the right side of the roadway but he was then struck by unit #1. cfd medic 21 treated the bicyclists at scene for a couple of scrapes. officer noticed the roadway was not lit, the bicycle did not have any reflectors or lights, and the bicyclist was wearing all black clothing. officers agreed the accident would not have taken place if the bicycle had the proper lights and reflectors. no citations were given but officers found the bicyclist at fault for the accident.", state travel westbound ave hit bicyclist state moment state wear light bicycle bicyclist state ride middle roadway travel westbound ave notice vehicle come bicyclist state try veer right roadway strike cfd medic treat bicyclist scene couple scrape officer notice roadway light bicycle reflector light bicyclist wear clothing officer agree accident take bicycle proper light reflector citation give officer find bicyclist fault accident ,Bicycle Accident Cases,Bicycle Accident Cases
49,350,176175264,20176175264,https://hsip.dot.state.oh.us/api/report/20176175264,2017,11/1/2017 0:00,6,CDELCR00220**C,C,DEL,1.504,40.330942,-83.042058,77560,19234.0,11/17/2017 0:00,Injury possible,Pedalcycles,6,N,,N,N,Major collector roads,18,0,,,,N,1.504,CDELCR00220**C,N,Dark - roadway not lighted,21-1610-21,2,11,,1,0,2,TROY TOWNSHIP,Not an intersection,S,N,N,2.0,N,0.004,,N,2619 HORSESHOE ROAD,N,TROY TOWNSHIP,N,,,,,,220,CR,,,N,,,,3,,,,,N,N,N,0,,N,,1,Dry,Straight level,,33421.0,N,1.504,28,Y,Wrong way,South,North,,F,N,N,N,Shoulder / roadside,2,Nothing struck,2,2,55,"Walking, running, jogging, playing",Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,5,55.0,1,1.0,2.0,1.0,F,,1,55.0,1.0,15,,,,,,1.0,6.0,NT,3,50.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176175264,unit # 1 was traveling southbound on cr 220 (horseshoe road). unit # 2 was northbound on cr 220 traveling in the southbound lane of travel. unit # 1 and unit # 2 struck each other in the right side., travel southbound cr northbound cr travel southbound travel strike right ,Road Travel Fails,Road Travel Fails
50,352,176177948,20176177948,https://hsip.dot.state.oh.us/api/report/20176177948,2017,11/1/2017 0:00,4,SSUMSR00008**C,S,SUM,21.32,41.350482,-81.526646,56448,17668.0,11/21/2017 0:00,Minor injury suspected,Pedalcycles,3,N,Two-way roadway,N,N,Minor arterial roads,14,0,,ba37f22b-d6de-4989-b318-ce72bfccdcd7,738c3495-ae3e-4241-ba71-67ef3aad4ca6,N,21.32,SSUMSR00008**C,N,Daylight,2017-026,4,11,,1,1,2,NORTHFIELD,T-intersection,,N,Y,4.0,N,0.0,SR,N,,N,NORTHFIELD,N,,,,NORTHFIELD,AVE,,,,,N,,,HEIGHTS,1,8,SR,,AVE,N,N,N,0,,N,2.0,0,Dry,Straight level,,182207.0,N,21.32,56,Y,Failure to yield,North,South,,M,N,N,N,Sidewalk,2,Nothing struck,2,2,25,Entering or crossing specified location,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,10,61.0,1,3.0,1.0,1.0,M,,1,25.0,5.0,15,,,,,,1.0,4.0,RT,3,1.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176177948,"unit #1 was stopped on heights ave. waiting to turn right onto northfield rd. north bound. when unit #1 began to make it's right turn unit #2, a bicyclist, was traveling south on the sidewalk along northfield rd. unit #1 was then struck by unit #2 who had the right of way to turn right.", stop height ave wait turn right northfield rd bind begin right turn bicyclist travel sidewalk northfield rd strike right turn right , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
